edinet_code,sec_code,filer_name,corporate_number
E02980,7837,株式会社アールシーコア,8013201007128
E02986,3374,内外テック株式会社,6010901008705
E02994,3392,デリカフーズホールディングス株式会社,8011801015921
E03004,3070,株式会社ジェリービーンズグループ,9010501001644
E03005,3079,ディーブイエックス株式会社,9011601006203
E03006,3076,あいホールディングス株式会社,4010001108077
E03020,8242,エイチ・ツー・オー　リテイリング株式会社,1120001059683
E03181,9904,株式会社ベリテ,3020001050312
E03251,7464,セフテック株式会社,7010001004224
E03360,2673,夢みつけ隊株式会社,8011101037559
E03368,2685,株式会社アンドエスティＨＤ,1050001002254
E03415,2778,パレモ・ホールディングス株式会社,4180001086075
E03451,3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ株式会社,9290801016604
E03465,3021,株式会社パシフィックネット,5010401054564
E03498,3083,スターシーズ株式会社,6010001072528
E03505,3077,ホリイフードサービス株式会社,2050001002286
E03740,8783,ａｂｃ株式会社,9010401047481
E04008,8912,株式会社エリアクエスト,8013201016434
E04038,8944,株式会社ランドビジネス,5010001031955
E04072,3245,株式会社ディア・ライフ,2010001090418
E04077,3248,株式会社アールエイジ,6010401059587
E04123,9033,広島電鉄株式会社,9240001009470
E04342,9362,兵機海運株式会社,6140001010417
E04354,9087,タカセ株式会社,3010401058435
E04356,9367,大東港運株式会社,8010401016578
E04856,9687,株式会社ＫＳＫ,1013401001845
E04914,9612,株式会社ラックランド,6011101022356
E04920,9799,旭情報サービス株式会社,7010001035087
E04932,9791,株式会社ビケンテクノ,5120901008067
E04944,9780,株式会社ハリマビステム,6020001024214
E04988,4674,株式会社クレスコ,7010401008700
E04995,4685,株式会社菱友システムズ,3010401031664
E05017,4709,株式会社ＩＤホールディングス,7010001011096
E05018,7595,株式会社アルゴグラフィックス,7010001062783
E05054,4736,日本ラッド株式会社,8010401094657
E05075,4752,株式会社　昭和システムエンジニアリング,3010001045552
E05096,4763,株式会社クリーク・アンド・リバー社,1010001101101
E05101,4769,株式会社ＩＣ,3010701001012
E05120,4783,ＮＣＤ株式会社,2010701007869
E05151,4814,ネクストウェア株式会社,3120001086949
E05163,4826,株式会社ＣＩＪ,1020001015606
E05199,4286,株式会社ＣＬホールディングス,1011001025439
E05201,4288,株式会社アズジェント,7010001035673
E05204,4287,株式会社ジャストプランニング,7010801005818
E05230,4317,株式会社レイ,6010401031785
E05236,4323,日本システム技術株式会社,3120001072817
E05241,2721,株式会社ジェイホールディングス,2010401083302
E05255,4335,ＩＰＳホールディングス株式会社,3140001005782
E05275,4351,株式会社山田再生系債権回収総合事務所,8020001016168
E05282,4356,応用技術株式会社,9120001121031
E05291,2307,株式会社クロスキャット,5010701002818
E05293,2311,株式会社エプコ,4011801000662
E05315,2338,クオンタムソリューションズ株式会社,2011101046458
E05317,2342,株式会社トランスジェニックグループ,9330001006698
E05322,2349,株式会社エヌアイデイ,8040001063472
E05332,2359,株式会社コア,4010901003823
E05348,3719,ＡＩストーム株式会社,9013201016466
E05367,2385,株式会社総医研ホールディングス,4120901026508
E05377,1717,明豊ファシリティワークス株式会社,7010001072436
E05395,3726,株式会社フォーシーズＨＤ,7290001032701
E05407,8929,株式会社青山財産ネットワークス,4010401087540
E05411,2418,株式会社ツカダ・グローバルホールディング,2011001035049
E05417,2411,ゲンダイエージェンシー株式会社,8010101001161
E05440,2425,株式会社ケアサービス,8010801003671
E05445,3787,株式会社テクノマセマティカル,6010701012444
E05450,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,7010001047124
E05467,2429,株式会社ワールドホールディングス,4290801004051
E05469,3766,システムズ・デザイン株式会社,7011301012643
E05481,9425,ＲｅＹｕｕ　Ｊａｐａｎ株式会社,2120001072917
E05505,8945,サンネクスタグループ株式会社,9011101027286
E05512,7833,株式会社アイフィスジャパン,9010001009543
E05516,3804,株式会社システム　ディ,8130001021041
E05521,3798,ＵＬＳグループ株式会社,9010001075445
E05543,3779,ジェイ・エスコムホールディングス株式会社,4010401059201
E05553,3799,キーウェアソリューションズ株式会社,5011101033882
E05561,3800,株式会社ユニリタ,2010401034593
E05569,2479,株式会社ジェイテック,9010001065586
E05573,3803,イメージ情報開発株式会社,7010001141249
E05593,2488,ＪＴＰ株式会社,6010701025248
E05606,3042,株式会社セキュアヴェイル,3120001099513
E05607,3454,ファーストブラザーズ株式会社,1010001086441
E05609,2492,株式会社インフォマート,2010401041383
E05611,2493,イーサポートリンク株式会社,2013301018864
E05630,3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ株式会社,7013201013779
E05635,3816,株式会社大和コンピューター,1120901011371
E05640,3817,株式会社ＳＲＡホールディングス,2013301022429
E05657,2136,株式会社ヒップ,9020001015813
E05659,3835,ｅＢＡＳＥ株式会社,9120001099805
E05669,3841,株式会社ジーダット,7010001085545
E05674,3840,パス株式会社,1011001070286
E05677,3842,株式会社ネクストジェン,6010001097517
E05679,3839,株式会社ＯＤＫソリューションズ,8120001092926
E05695,2154,株式会社オープンアップグループ,5010401078571
E05705,3854,株式会社アイル,2120001034108
E05728,4571,ＮＡＮＯホールディングス株式会社,5040001067344
E05741,3623,ビリングシステム株式会社,6010001139434
E05821,1773,ワイ・ティー・エル・コーポレーション・バーハッド,
